Nome: BELEM
Codigo Estacao: A201
Latitude: -1.411228
Longitude: -48.439512
Altitude: 21.17
Situacao: Operante
Data Inicial: 2024-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);
2024-01-01;,2;26,8;
2024-01-02;11,2;26,6;
2024-01-03;41,8;25,8;
2024-01-04;38,6;27,2;
2024-01-05;9;27,1;
2024-01-06;16;27,8;
2024-01-07;103,4;26,9;
2024-01-08;3,4;27,1;
2024-01-09;,8;27,3;
2024-01-10;17;27,8;
2024-01-11;7,8;27,7;
2024-01-12;13,4;24,7;
2024-01-13;23,6;25,8;
2024-01-14;3,6;26,4;
2024-01-15;20,6;27;
2024-01-16;1,4;26,5;
2024-01-17;8,6;28,6;
2024-01-18;,2;28,2;
2024-01-19;13,2;27,7;
2024-01-20;15,4;27,5;
2024-01-21;27;27,7;
2024-01-22;14,4;27,3;
2024-01-23;6;27,5;
2024-01-24;17,2;27,5;
2024-01-25;12,4;27,4;
2024-01-26;45,2;27,7;
2024-01-27;0;27,8;
2024-01-28;8;27,4;
2024-01-29;10,4;26,8;
2024-01-30;15,2;26,6;
2024-01-31;1,6;27,6;
2024-02-01;31,8;27,3;
2024-02-02;38,6;25,7;
2024-02-03;45,6;27,3;
2024-02-04;0;28;
2024-02-05;1,2;28,7;
2024-02-06;3;27,2;
2024-02-07;10,4;27;
2024-02-08;5,6;27,4;
2024-02-09;22,4;27,9;
2024-02-10;11,4;26,1;
2024-02-11;4,6;26,8;
2024-02-12;3,4;26,7;
2024-02-13;5,2;24,8;
2024-02-14;1,2;28;
2024-02-15;0;27;
2024-02-16;27,2;27,6;
2024-02-17;0;26,6;
2024-02-18;25,4;26,4;
2024-02-19;33;26,8;
2024-02-20;3,2;28,2;
2024-02-21;0;28,5;
2024-02-22;0;26,3;
2024-02-23;0;25,6;
2024-02-24;14,4;26,4;
2024-02-25;1,2;25,8;
2024-02-26;29;26,3;
2024-02-27;39,8;26,5;
2024-02-28;26,6;25,5;
2024-02-29;26,2;27,3;
2024-03-01;,2;27,5;
2024-03-02;8,4;28,2;
2024-03-03;16,8;27,8;
2024-03-04;5,8;27,2;
2024-03-05;,6;27,4;
2024-03-06;6;27,7;
2024-03-07;,2;26,8;
2024-03-08;18;26,8;
2024-03-09;22,6;27,3;
2024-03-10;,4;27,3;
2024-03-11;62,8;26,8;
2024-03-12;45,8;27,1;
2024-03-13;15,8;27,2;
2024-03-14;41,6;27,1;
2024-03-15;10;26,3;
2024-03-16;95;27,2;
2024-03-17;12;26,5;
2024-03-18;1;27,4;
2024-03-19;2,8;28,4;
2024-03-20;,6;26,8;
2024-03-21;15,4;26,3;
2024-03-22;14,2;26,3;
2024-03-23;10;26,8;
2024-03-24;3,2;26,8;
2024-03-25;5,2;27,6;
2024-03-26;47;26,8;
2024-03-27;3,2;27,6;
2024-03-28;2,8;27,7;
2024-03-29;20,2;26,2;
2024-03-30;48,6;26,5;
2024-03-31;1,6;28,5;
2024-04-01;3,2;27,3;
2024-04-02;5,8;27,8;
2024-04-03;5,2;26,5;
2024-04-04;23,6;27,3;
2024-04-05;11,4;27,4;
2024-04-06;5,8;28,2;
2024-04-07;5,4;27,1;
2024-04-08;30,4;27,6;
2024-04-09;3,8;27,5;
2024-04-10;65,8;27,6;
2024-04-11;11,4;28,4;
2024-04-12;14,6;27,1;
2024-04-13;17,2;27,3;
2024-04-14;26,8;25,8;
2024-04-15;23;27,5;
2024-04-16;,2;27,6;
2024-04-17;9,6;27,8;
2024-04-18;3;27;
2024-04-19;2,8;26,8;
2024-04-20;41,4;27,3;
2024-04-21;26,4;26,9;
2024-04-22;16;26,9;
2024-04-23;,6;27,9;
2024-04-24;2,2;27,2;
2024-04-25;,4;26,6;
2024-04-26;64,8;27,1;
2024-04-27;,2;26,4;
2024-04-28;23,2;26,6;
2024-04-29;,2;27,2;
2024-04-30;21,6;27,4;
2024-05-01;3;26,6;
2024-05-02;2;27,4;
2024-05-03;10,2;27,9;
2024-05-04;6,4;27,3;
2024-05-05;9,8;27,4;
2024-05-06;4,4;27,4;
2024-05-07;15,8;27;
2024-05-08;15,6;28,1;
2024-05-09;1,8;27,6;
2024-05-10;55;26,8;
2024-05-11;18,2;27,3;
2024-05-12;,2;27,7;
2024-05-13;0;27,6;
2024-05-14;8,4;27,6;
2024-05-15;2,6;27,4;
2024-05-16;14,6;27,2;
2024-05-17;9,8;26,5;
2024-05-18;16,8;27,2;
2024-05-19;2;28;
2024-05-20;0;28;
2024-05-21;4;27,8;
2024-05-22;9,6;28,2;
2024-05-23;,4;28,3;
2024-05-24;1;27,9;
2024-05-25;11;27,7;
2024-05-26;1;27,4;
2024-05-27;18,8;26,8;
2024-05-28;25,6;28,3;
2024-05-29;0;27,8;
2024-05-30;47,4;27,4;
2024-05-31;16,8;27,2;
2024-06-01;16,8;27,4;
2024-06-02;31,4;27,8;
2024-06-03;10,8;26,8;
2024-06-04;13,6;27,4;
2024-06-05;,8;28,5;
2024-06-06;8,2;28,2;
2024-06-07;,2;27,9;
2024-06-08;6;27,6;
2024-06-09;15,8;27,4;
2024-06-10;41,6;25,8;
2024-06-11;9,8;27,1;
2024-06-12;1,2;28;
2024-06-13;0;28,2;
2024-06-14;14,4;28;
2024-06-15;,4;27,9;
2024-06-16;0;28,2;
2024-06-17;9;27,8;
2024-06-18;4,2;28;
2024-06-19;0;28,5;
2024-06-20;0;28,3;
2024-06-21;17,6;27,3;
2024-06-22;12;28,1;
2024-06-23;,2;28;
2024-06-24;0;26,9;
2024-06-25;14;27,1;
2024-06-26;1,4;27,5;
2024-06-27;,2;27,5;
2024-06-28;0;27,5;
2024-06-29;1,4;28,2;
2024-06-30;0;28,4;
