Nome: BELO HORIZONTE - PAMPULHA
Codigo Estacao: A521
Latitude: -19.88388888
Longitude: -43.96944443
Altitude: 854.02
Situacao: Operante
Data Inicial: 2024-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);
2024-01-01;33,2;20,4;
2024-01-02;12,4;21,6;
2024-01-03;11,2;21,1;
2024-01-04;27,8;21,9;
2024-01-05;9,2;24,6;
2024-01-06;0;24,7;
2024-01-07;0;24,5;
2024-01-08;12,8;23,8;
2024-01-09;6,2;23,8;
2024-01-10;0;24,3;
2024-01-11;0;24,1;
2024-01-12;8;24,3;
2024-01-13;5,8;23,2;
2024-01-14;23,2;23,1;
2024-01-15;14;23;
2024-01-16;0;25,8;
2024-01-17;0;26,7;
2024-01-18;23,8;26;
2024-01-19;0;25,8;
2024-01-20;0;25,7;
2024-01-21;0;24,2;
2024-01-22;2,4;24,5;
2024-01-23;0;24,3;
2024-01-24;34,8;22,3;
2024-01-25;4;23,5;
2024-01-26;0;22,4;
2024-01-27;13,8;22,4;
2024-01-28;,2;24,2;
2024-01-29;24,2;24,3;
2024-01-30;6,6;25;
2024-01-31;,4;23,1;
2024-02-01;26,4;22,7;
2024-02-02;,2;24,7;
2024-02-03;,6;24,6;
2024-02-04;,2;24,9;
2024-02-05;0;24,7;
2024-02-06;8;21,7;
2024-02-07;42,8;22,8;
2024-02-08;6,8;21,9;
2024-02-09;8,6;22,6;
2024-02-10;,2;23,1;
2024-02-11;0;24,2;
2024-02-12;0;24,3;
2024-02-13;0;25,2;
2024-02-14;,4;25,2;
2024-02-15;1;22,7;
2024-02-16;11,6;22,5;
2024-02-17;1,8;23,2;
2024-02-18;22,6;22,5;
2024-02-19;,6;22,4;
2024-02-20;12;21,4;
2024-02-21;16,6;21,5;
2024-02-22;13;21,6;
2024-02-23;34,6;21,8;
2024-02-24;3;23,9;
2024-02-25;,2;25,4;
2024-02-26;0;25,5;
2024-02-27;0;24,8;
2024-02-28;,6;25,4;
2024-02-29;0;25,6;
2024-03-01;0;24,4;
2024-03-02;3;23,9;
2024-03-03;0;24,2;
2024-03-04;0;24,6;
2024-03-05;1,8;23,2;
2024-03-06;,2;23,7;
2024-03-07;15,8;23,7;
2024-03-08;4,4;24,8;
2024-03-09;0;25,4;
2024-03-10;14;23,9;
2024-03-11;,2;25;
2024-03-12;,4;24,9;
2024-03-13;0;25,6;
2024-03-14;0;26,1;
2024-03-15;0;26,4;
2024-03-16;0;26,7;
2024-03-17;0;27,3;
2024-03-18;0;25,8;
2024-03-19;,6;25,1;
2024-03-20;5,6;23,4;
2024-03-21;6,6;23,9;
2024-03-22;0;25,2;
2024-03-23;76,8;21,5;
2024-03-24;,2;22,7;
2024-03-25;1,8;23,1;
2024-03-26;23,2;21,8;
2024-03-27;5,4;22,1;
2024-03-28;,2;22,7;
2024-03-29;,6;24,3;
2024-03-30;0;24,1;
2024-03-31;1,8;24,5;
2024-04-01;0;24,1;
2024-04-02;0;23,9;
2024-04-03;,2;24,3;
2024-04-04;,2;25,1;
2024-04-05;0;23,8;
2024-04-06;3,4;23,2;
2024-04-07;0;22,7;
2024-04-08;0;22,4;
2024-04-09;0;22,8;
2024-04-10;0;24,5;
2024-04-11;0;25,1;
2024-04-12;0;24;
2024-04-13;0;22,4;
2024-04-14;0;22,5;
2024-04-15;0;23,1;
2024-04-16;0;22,7;
2024-04-17;0;23,7;
2024-04-18;0;22,6;
2024-04-19;93,2;20,9;
2024-04-20;0;21,4;
2024-04-21;0;21,7;
2024-04-22;0;22,5;
2024-04-23;0;23,3;
2024-04-24;0;24,2;
2024-04-25;0;24,4;
2024-04-26;0;23,9;
2024-04-27;0;23;
2024-04-28;0;23,6;
2024-04-29;0;24,1;
2024-04-30;0;23,8;
2024-05-01;0;24,7;
2024-05-02;0;24,2;
2024-05-03;0;24,3;
2024-05-04;0;22,7;
2024-05-05;0;22,3;
2024-05-06;0;21,8;
2024-05-07;0;22,3;
