Nome: CURITIBA
Codigo Estacao: A807
Latitude: -25.4486111
Longitude: -49.23055554
Altitude: 922.91
Situacao: Operante
Data Inicial: 2024-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);
2024-01-01;0;20,2;
2024-01-02;0;21,1;
2024-01-03;0;21,3;
2024-01-04;,4;20,3;
2024-01-05;0;20,4;
2024-01-06;0;21,5;
2024-01-07;0;23,7;
2024-01-08;0;27,3;
2024-01-09;17,2;24,6;
2024-01-10;23,2;24,7;
2024-01-11;0;24,8;
2024-01-12;11,8;21,2;
2024-01-13;0;19,3;
2024-01-14;,2;22,7;
2024-01-15;0;25,5;
2024-01-16;0;25,9;
2024-01-17;0;24,1;
2024-01-18;11,8;23;
2024-01-19;14;24,4;
2024-01-20;1,8;24,3;
2024-01-21;0;21,8;
2024-01-22;,6;18;
2024-01-23;28;17;
2024-01-24;3,8;16,6;
2024-01-25;3,8;15,9;
2024-01-26;2,4;16,5;
2024-01-27;,2;18,6;
2024-01-28;,4;19,7;
2024-01-29;,2;21;
2024-01-30;,2;23,3;
2024-01-31;0;22,4;
2024-02-01;40,6;21,8;
2024-02-02;0;21,2;
2024-02-03;0;21,5;
2024-02-04;48;21,8;
2024-02-05;3,8;23,2;
2024-02-06;0;23,8;
2024-02-07;0;24,5;
2024-02-08;0;24,4;
2024-02-09;0;24,1;
2024-02-10;0;23,4;
2024-02-11;0;24,1;
2024-02-12;0;25,1;
2024-02-13;0;25,5;
2024-02-14;3,4;20,7;
2024-02-15;18,4;17,7;
2024-02-16;6,2;18,6;
2024-02-17;,2;20,4;
2024-02-18;0;19,6;
2024-02-19;14,8;20,9;
2024-02-20;45,6;19,7;
2024-02-21;2;19,3;
2024-02-22;6,8;20,9;
2024-02-23;0;23,2;
2024-02-24;,2;24,2;
2024-02-25;11;22,6;
2024-02-26;,2;21,5;
2024-02-27;,2;23;
2024-02-28;14,4;24,1;
2024-02-29;10,2;23,8;
2024-03-01;,2;22,6;
2024-03-02;,2;21,8;
2024-03-03;0;23,1;
2024-03-04;0;23,5;
2024-03-05;19,4;20,3;
2024-03-06;3;19,1;
2024-03-07;0;20,5;
2024-03-08;,2;21,4;
2024-03-09;,6;23,2;
2024-03-10;8,4;22,7;
2024-03-11;0;21;
2024-03-12;0;20,9;
2024-03-13;0;22,5;
2024-03-14;0;24,3;
2024-03-15;0;26;
2024-03-16;0;27,1;
2024-03-17;0;24,5;
2024-03-18;0;23,5;
2024-03-19;0;24,3;
2024-03-20;10,4;24,2;
2024-03-21;0;24,3;
2024-03-22;2,8;17,8;
2024-03-23;,2;16,3;
2024-03-24;,4;18,1;
2024-03-25;0;20;
2024-03-26;,8;19,1;
2024-03-27;0;19;
2024-03-28;,2;19,6;
2024-03-29;0;19,7;
2024-03-30;0;21,3;
2024-03-31;0;22;
2024-04-01;0;22,6;
2024-04-02;0;23,1;
2024-04-03;0;23,4;
2024-04-04;0;24,4;
2024-04-05;0;23,3;
2024-04-06;6,8;17,7;
2024-04-07;0;18,5;
2024-04-08;6,2;19,2;
