Nome: SAO PAULO - INTERLAGOS
Codigo Estacao: A771
Latitude: -23.72444443
Longitude: -46.67749999
Altitude: 771
Situacao: Operante
Data Inicial: 2024-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);
2024-01-01;,2;20;
2024-01-02;0;21,2;
2024-01-03;0;22,5;
2024-01-04;2,4;20,5;
2024-01-05;14,2;20,9;
2024-01-06;1;21,1;
2024-01-07;0;22,8;
2024-01-08;0;25;
2024-01-09;2,2;25,3;
2024-01-10;0;25,9;
2024-01-11;16,4;24,9;
2024-01-12;18,4;23,1;
2024-01-13;149,4;20;
2024-01-14;,6;21,7;
2024-01-15;0;25,7;
2024-01-16;0;27,6;
2024-01-17;0;26,3;
2024-01-18;18,6;24,9;
2024-01-19;18,6;24,5;
2024-01-20;26,6;23,7;
2024-01-21;14,4;21,6;
2024-01-22;8,6;20;
2024-01-23;9,2;18;
2024-01-24;19;18,2;
2024-01-25;1,8;17,4;
2024-01-26;4,2;17,6;
2024-01-27;,2;19,6;
2024-01-28;8,2;19,9;
2024-01-29;6;22,9;
2024-01-30;,2;23,9;
2024-01-31;0;22;
2024-02-01;38,6;21,1;
2024-02-02;0;20;
2024-02-03;32,4;21,8;
2024-02-04;,2;22,1;
2024-02-05;48,6;22,4;
2024-02-06;,2;22,7;
2024-02-07;,2;22,8;
2024-02-08;,2;23,3;
2024-02-09;0;23,5;
2024-02-10;,2;23,9;
2024-02-11;0;24,4;
2024-02-12;0;26,4;
2024-02-13;0;27,4;
2024-02-14;54;21,8;
2024-02-15;19,8;20;
2024-02-16;2;20,1;
2024-02-17;,2;21,2;
2024-02-18;0;21,7;
2024-02-19;2,6;21,8;
2024-02-20;14,6;20,8;
2024-02-21;32,6;20,8;
2024-02-22;13;22,8;
2024-02-23;,2;24,5;
2024-02-24;13,4;23,1;
2024-02-25;49,4;23,1;
2024-02-26;0;22,6;
2024-02-27;0;26,1;
2024-02-28;0;25,5;
2024-02-29;,8;24,5;
2024-03-01;,8;23,2;
2024-03-02;3,8;21,8;
2024-03-03;,2;23;
2024-03-04;0;23,4;
2024-03-05;1,8;23,7;
2024-03-06;7;22,1;
2024-03-07;,8;21,6;
2024-03-08;,8;22,9;
2024-03-09;20;24,7;
2024-03-10;1;24,2;
2024-03-11;1;21,8;
2024-03-12;0;20,4;
2024-03-13;0;22;
2024-03-14;0;24,1;
2024-03-15;0;27,2;
2024-03-16;0;28,2;
2024-03-17;0;27,7;
2024-03-18;,2;24,2;
2024-03-19;8,2;25;
2024-03-20;,2;25,4;
2024-03-21;0;27,2;
2024-03-22;5;20;
2024-03-23;6,8;17,6;
2024-03-24;10,2;18,7;
2024-03-25;0;20,9;
2024-03-26;0;20;
2024-03-27;0;19,2;
2024-03-28;0;19,4;
2024-03-29;0;21,9;
2024-03-30;0;21,3;
2024-03-31;0;21,7;
2024-04-01;0;21,1;
2024-04-02;0;22,5;
2024-04-03;0;21,9;
2024-04-04;0;22,4;
2024-04-05;,2;22,9;
2024-04-06;0;20,6;
2024-04-07;6,2;20,2;
2024-04-08;0;21,8;
2024-04-09;2;21,6;
2024-04-10;,2;22;
2024-04-11;0;20,7;
2024-04-12;,6;21,4;
2024-04-13;0;22;
2024-04-14;0;22,1;
2024-04-15;1,2;22;
2024-04-16;43,6;23,8;
2024-04-17;14,6;23,6;
2024-04-18;3;17,5;
2024-04-19;,6;16,9;
2024-04-20;0;18,3;
2024-04-21;0;19,7;
2024-04-22;,2;21,6;
2024-04-23;0;23,3;
2024-04-24;0;22,9;
2024-04-25;,6;20,5;
2024-04-26;,6;20,7;
2024-04-27;0;23,9;
2024-04-28;0;24,6;
2024-04-29;0;23,3;
2024-04-30;0;25,5;
2024-05-01;0;24,9;
2024-05-02;0;25,4;
2024-05-03;0;22,4;
2024-05-04;,2;24,3;
2024-05-05;0;24,5;
2024-05-06;0;23,4;
2024-05-07;0;23,7;
2024-05-08;0;24,5;
2024-05-09;0;23,1;
2024-05-10;1,2;21,8;
2024-05-11;,2;23,3;
2024-05-12;0;23,6;
2024-05-13;0;24;
2024-05-14;0;18,8;
2024-05-15;1,4;16,4;
2024-05-16;0;21,1;
2024-05-17;0;24,2;
2024-05-18;0;21,3;
2024-05-19;0;19,6;
2024-05-20;6;19,3;
2024-05-21;,6;17;
2024-05-22;,2;20,7;
2024-05-23;,2;21,6;
2024-05-24;0;19,4;
2024-05-25;3,4;15,6;
2024-05-26;17;14,5;
2024-05-27;17,8;16,6;
2024-05-28;1,6;18,3;
2024-05-29;,2;13,2;
2024-05-30;,2;13,3;
2024-05-31;0;14,8;
2024-06-01;0;16,9;
2024-06-02;,4;17,8;
2024-06-03;0;19,3;
2024-06-04;0;16,2;
2024-06-05;1,2;16,5;
2024-06-06;,2;17,8;
2024-06-07;,4;18,9;
2024-06-08;,2;18,6;
2024-06-09;,4;19,9;
2024-06-10;0;21,2;
2024-06-11;,2;19,1;
2024-06-12;,2;19;
2024-06-13;,4;19,5;
2024-06-14;0;20,3;
2024-06-15;0;20,8;
2024-06-16;0;20,7;
2024-06-17;0;20,7;
2024-06-18;0;20,1;
2024-06-19;0;19,7;
2024-06-20;0;18,9;
2024-06-21;,4;17,7;
2024-06-22;,2;19,4;
2024-06-23;0;21;
2024-06-24;0;21,7;
2024-06-25;0;17,4;
2024-06-26;0;20,7;
2024-06-27;0;18,5;
2024-06-28;,2;19,2;
2024-06-29;0;17,2;
2024-06-30;,8;12,7;
2024-07-01;0;13,6;
2024-07-02;0;15,7;
2024-07-03;,4;18,8;
2024-07-04;0;19,8;
2024-07-05;0;20,2;
2024-07-06;0;15,9;
2024-07-07;0;17,5;
2024-07-08;0;13,7;
2024-07-09;25;12,5;
2024-07-10;40;17,4;
2024-07-11;0;17;
2024-07-12;0;15,8;
2024-07-13;,2;13,2;
2024-07-14;0;16,4;
2024-07-15;0;14,9;
2024-07-16;0;15,4;
2024-07-17;0;17,5;
2024-07-18;,2;16,4;
2024-07-19;,2;14,7;
2024-07-20;,4;14,4;
2024-07-21;0;15,9;
2024-07-22;,2;17,7;
2024-07-23;,2;16,1;
2024-07-24;0;17;
2024-07-25;,2;18,2;
2024-07-26;0;18,5;
2024-07-27;0;18,7;
2024-07-28;0;20,1;
2024-07-29;0;17,1;
2024-07-30;3,4;13,7;
2024-07-31;2,6;15,9;
2024-08-01;0;16,9;
2024-08-02;0;17,9;
2024-08-03;0;20,8;
2024-08-04;0;22,1;
2024-08-05;0;22,4;
2024-08-06;0;22;
2024-08-07;0;22,7;
2024-08-08;0;22,5;
2024-08-09;1,8;17;
2024-08-10;46,4;10,4;
2024-08-11;,4;12,5;
2024-08-12;,2;13,6;
2024-08-13;0;9,6;
2024-08-14;0;12,7;
2024-08-15;,2;17,9;
2024-08-16;0;20,5;
2024-08-17;0;21,8;
2024-08-18;0;22;
2024-08-19;0;23;
2024-08-20;0;20,5;
2024-08-21;0;18,6;
2024-08-22;0;22,6;
2024-08-23;0;23;
2024-08-24;,2;15,4;
2024-08-25;13,4;10,8;
2024-08-26;,4;10,2;
2024-08-27;,2;10,1;
2024-08-28;0;12,7;
2024-08-29;0;16,5;
2024-08-30;,2;20,1;
2024-08-31;0;17,7;
2024-09-01;,2;21,4;
2024-09-02;0;17,7;
2024-09-03;0;20,9;
2024-09-04;0;23,6;
2024-09-05;0;20,4;
2024-09-06;0;15,6;
2024-09-07;0;22,2;
2024-09-08;0;25,3;
2024-09-09;0;24;
2024-09-10;0;23,5;
2024-09-11;0;25,1;
2024-09-12;0;25,4;
2024-09-13;0;24,5;
2024-09-14;0;22,6;
2024-09-15;,2;17,5;
2024-09-16;15,4;15,1;
2024-09-17;5,8;14,4;
2024-09-18;0;16;
2024-09-19;0;17,7;
2024-09-20;3,8;22,3;
2024-09-21;,8;21,2;
2024-09-22;0;22;
2024-09-23;,2;22,9;
2024-09-24;0;20,8;
2024-09-25;0;24,8;
2024-09-26;0;27,2;
2024-09-27;0;19,2;
2024-09-28;,8;15,8;
2024-09-29;0;18;
2024-09-30;0;20,6;
2024-10-01;0;25,8;
2024-10-02;0;25,2;
2024-10-03;1,8;18,1;
2024-10-04;1,4;15,2;
2024-10-05;,6;16,1;
2024-10-06;0;17,6;
2024-10-07;0;17,7;
2024-10-08;0;19,5;
2024-10-09;0;16,9;
2024-10-10;3;18,7;
2024-10-11;3,6;21,8;
2024-10-12;11,8;20,7;
2024-10-13;,4;17,2;
2024-10-14;,4;16,9;
2024-10-15;0;18,5;
2024-10-16;0;20,3;
2024-10-17;0;19,7;
2024-10-18;0;18,4;
2024-10-19;0;16,3;
2024-10-20;33,2;16,1;
2024-10-21;,2;19,1;
2024-10-22;0;22,9;
2024-10-23;0;23,3;
2024-10-24;18;23,5;
2024-10-25;21;22,7;
2024-10-26;,2;23,1;
2024-10-27;,4;16,3;
2024-10-28;,2;17,1;
2024-10-29;,4;18,8;
2024-10-30;0;19,4;
2024-10-31;,2;18,8;
2024-11-01;0;null;
2024-11-02;0;null;
2024-11-03;30,2;null;
2024-11-04;11,2;null;
2024-11-05;2,6;null;
2024-11-06;3,6;null;
2024-11-07;18,6;null;
2024-11-08;44,8;null;
2024-11-09;7,8;null;
2024-11-10;,2;null;
2024-11-11;,2;null;
2024-11-12;0;null;
2024-11-13;10,6;null;
2024-11-14;0;null;
2024-11-15;0;null;
2024-11-16;,2;null;
2024-11-17;0;null;
2024-11-18;,2;null;
2024-11-19;,2;null;
2024-11-20;0;null;
2024-11-21;,2;null;
2024-11-22;2;null;
2024-11-23;1;null;
2024-11-24;,6;null;
2024-11-25;0;null;
2024-11-26;0;null;
2024-11-27;0;null;
2024-11-28;0;null;
2024-11-29;26,6;null;
2024-11-30;0;null;
2024-12-01;0;null;
2024-12-02;0;null;
2024-12-03;14,2;null;
2024-12-04;6,2;null;
2024-12-05;,4;null;
2024-12-06;,4;null;
2024-12-07;0;null;
2024-12-08;,8;null;
2024-12-09;2,2;null;
2024-12-10;9;null;
2024-12-11;10,6;null;
2024-12-12;0;19,4;
2024-12-13;0;19,9;
2024-12-14;0;21,9;
2024-12-15;2,4;23,9;
2024-12-16;,2;24,4;
2024-12-17;0;19,5;
2024-12-18;,2;19,8;
2024-12-19;0;21,6;
2024-12-20;0;23,7;
2024-12-21;35,2;22,1;
2024-12-22;13;22,4;
2024-12-23;4;20,5;
2024-12-24;2;19,8;
2024-12-25;0;22,7;
2024-12-26;54,4;21,5;
2024-12-27;45,8;21,2;
2024-12-28;,4;22,5;
2024-12-29;3,6;21,7;
2024-12-30;,6;21;
2024-12-31;,2;21,3;

